Agency,location,bedrooms,bathrooms,price
Abec Real Estate,"Naivasha Road, Dagoretti North",2,2,43500
City Homes Kenya Real Estate,"Gala lane, Ngara, Starehe",2,1,44000
Phillavilla,"Mombasa Road, Mombasa Road",2,2,44000
Opus Properties,"Ngong Racecourse, Ngong Road, Ngong Road",1,1,45000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",2,2,45000
Canaan Properties,"Naivasha Road, Dagoretti North",3,2,45000
Habitat Realtors International Ltd,"Kamiti Road, Jacaranda Gardens, Kahawa West, Roysambu",2,2,45000
Diamond City Villas,"2, Karen road, Karen, Langata",2,2,45000
Range Wide Properties,"Kileleshwa, Dagoretti North",2,2,45000
Homekenya24,"Ruaka, Kiambaa",3,1,45000
Miamu Properties Limited,"Ruaka, Kiambaa",2,2,45000
Buy Rent Shelters,"New Kitisuru, Kitisuru, Westlands",3,2,45000
Pmc Estates Limited,"Nairobi West, Langata",2,2,45000
Rescom Ventures Ltd,"Kasarani Area, Kasarani",3,2,45000
Civic Capital,"Syokimau, Athi River",3,3,45000
Apricotsolutions Limited,"Chambers Road, Ngara, Starehe",3,3,45000
Homekenya24,"Thindigua, Thindigua",2,2,45000
Homekenya24,"Ruaka, Kiambaa",2,2,45000
Acurate Homes Limited,"Langata Area, Langata",2,2,45000
Acurate Homes Limited,"Langata Area, Langata",2,2,45000
Shingles Kenya Limited,"Chalbi Drive, Lavington, Dagoretti North",1,1,45000
Pmc Estates Limited,"Imara Daima, Embakasi",3,1,45000
Civic Capital,"Syokimau, Athi River",3,3,45000
Apogee Realty Homes,"Kiambu Road, Kiambu Road",2,2,45000
Opus Properties,"Juja farm road, Juja, Kiambu Constituency",4,4,45000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",3,2,45000
Swiveltrend Ltd,"Limuru road, Ruaka, Kiambaa",2,2,45000
Fairdeal Properties Limited,"Ngong Road, Ngong Road",2,1,45000
Vaal Real Estate,"Mandera Road, Kileleshwa, Dagoretti North",1,1,45000
Acurate Homes Limited,"Langata Area, Langata",2,2,45000
Ever Forgarden ,"Denis Pritt, Kilimani, Dagoretti North",1,1,45000
Mazz Prestines,"Parklands, Westlands",2,1,45000
Havilaplus Estates Ltd,"Karen, Langata",3,1,45000
Havilaplus Estates Ltd,"Kiambu Road, Kiambu Road",2,2,45000
Blue Falcon Estate Agent,"Highridge, Parklands, Westlands",2,1,45000
Tussy Realtors,"Thiong'o Road, Mountain View, Westlands",3,2,45000
Tussy Realtors,"Thiong'o, Mountain View, Westlands",3,2,45000
Trisums Investments Company Limited,"Kiambu Road, Kiambu Road",2,2,46500
Opus Properties,"Ruaka, Kiambaa",3,2,47000
Sunland Real Estates Limited,"SANGALE ROAD, SANGALE ROAD, Nairobi West, Langata",2,2,48000
Phillavilla,"Ngong Road, Ngong Road",2,2,48000
Pam Golding Properties,"Kilimani, Dagoretti North",1,1,48000
Tulua Meraki,"Ole Sangale, Madaraka, Langata",2,1,48000
Diamond City Villas,":, Hardy, Karen, Karen, Langata",2,2,48000
Civic Capital,"Likoni Road, South B, Langata",3,2,48000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",3,2,50000
Range Wide Properties,"Waiyaki Way, Westlands",2,2,50000
Range Wide Properties,"Kileleshwa, Dagoretti North",2,2,50000
Buy Rent Shelters,"New Kitisuru, Kitisuru, Westlands",3,2,50000
Buy Rent Shelters,"Kiambu Rd, Thindigua, Kiambu Road, Kiambu Road",3,3,50000
Westside Real Estate,"6, Bukani Road, Nairobi West, Langata",3,1,50000
Rescom Ventures Ltd,"Kamiti Road, Kamiti, Kiambaa",3,2,50000
Cfs Homes,"Westlands Area, Westlands",1,1,50000
Diamond City Villas,"Rhino park road, Karen, Langata",2,2,50000
Canaan Properties,"Racecourse, Ngando Area, Ngong Road, Ngong Road",3,2,50000
Fairdeal Properties Limited,"Ngong Road, Ngong Road",3,2,50000
Royani Properties Limited,"Kiambu Rd, Kiambu Road, Kiambu Road",2,2,50000
Royani Properties Limited,"Fourways Junction Estate, Kiambu Road, Kiambu Road",2,2,50000
Royani Properties Limited,"Migaa, Kiambu Road, Kiambu Road",1,1,50000
Civic Capital,"Nairobi West, Langata",3,2,50000
Casapiu Holdings Limited,"Rhapta Road, Westlands",1,1,50000
Levindia Properties,"kiambu road, kiambu road, Kiambu Road, Kiambu Road",3,3,50000
Landmark Realtors Ltd,"Thindigua, Thindigua",3,3,50000
Gimco Limited,"Upper Hill, Langata",2,2,50000
Regent Management Ltd,"Imara Daima, Embakasi",3,2,50000
Real Management Services 2002Limited,"1 Ojijo, Parklands, Westlands",2,1,50000
Pam Golding Properties,"Upper Hill, Langata",1,1,50000
Links Properties,"Zambia Road, Ngong, Kajiado North",3,3,50000
Fitsher Homes Ltd,"Kiambu Road, Kiambu Road",3,3,50000
Naftal Properties,"Kilimani, Dagoretti North",1,1,50000
Fitsher Homes Ltd,"Ruaka, Kiambaa",3,3,51000
Absolute Estate Agents,"riara road, Riara Road, Dagoretti North",2,2,52000
Levindia Properties,"kiambu road, kiambu road, Kiambu Road, Kiambu Road",2,1,52000
Apogee Realty Homes,"Kiambu Road, Kiambu Road",2,2,52000
