Agency,location,bedrooms,bathrooms,price
Coralinternational Ltd,"Off Riverside Drive, Riverside, Westlands",3,2,120000
Coralinternational Ltd,"East Church Road, Rhapta Road, Westlands",3,2,120000
Coralinternational Ltd,"Lavington, Lavington, Dagoretti North",2,2,120000
Coralinternational Ltd,"Rhapta Road, Rhapta Road, Westlands",3,3,120000
Canaan Properties,"Riara Road, Dagoretti North",3,3,120000
Gimco Limited,"Lavington, Dagoretti North",3,2,120000
Eastwood Consulting Ltd,"East Church Road, Rhapta Road, Westlands",4,4,120000
Pam Golding Properties,"Hurlingham, Dagoretti North",1,1,120000
Pam Golding Properties,"Kilimani, Kilimani, Dagoretti North",3,2,120000
Regent Management Ltd,"Chania Avenue, Kilimani, Dagoretti North",4,3,120000
Realty Plus,"General Mathenge, Westlands",3,3,120000
Expo Properties,"Suguta Road, Suguta Road - Kileleshwa, Kileleshwa, Dagoretti North",2,2,120000
Paradigm Homes,"Lavington, Dagoretti North",3,3,120000
Dmus Realtors,"Riverside, Westlands",3,3,120000
Fit Property,"Riverside Drive, Nairobi , Riverside, Westlands",3,1,120000
City Homes Kenya Real Estate,"Riara Road, Riara Road, Dagoretti North",2,1,120000
Buy Rent Shelters,"Riverside, Westlands",3,3,120000
Wealthlink Realtors Ltd,"General Mathenge, Westlands",4,4,120000
Hilltrust Consult,"Off Waiyaki Way, Waiyaki Way, Westlands",4,3,120000
A1 Properties Limited,"Kilimani, Dagoretti North",3,3,120000
A1 Properties Limited,"Kileleshwa, Dagoretti North",3,3,120000
Dakima Home International,"Westlands Area, Westlands",3,3,120000
Ws Properties Limited,"Rhapta Road, Westlands Area, Westlands",3,3,120000
Ws Properties Limited,"Rhapta Road, Rhapta Road, Westlands",3,3,120000
Ws Properties Limited,"Waiyaki Way, Westlands",3,3,120000
Ws Properties Limited,"School Lane, Westlands Area, Westlands",3,3,120000
The Houswitch Haven Ltd,"Dennis Pritt, Kilimani, Dagoretti North",3,3,120000
Cfs Homes,"Kileleshwa, Dagoretti North",2,2,120000
Keensell Ventures,"Brookside, Westlands",4,2,120000
Chawan Business Venture,"Westlands Area, Westlands",1,1,120000
J M Mccarthy Properties Ltd,"Riverside, Westlands",3,3,120000
J M Mccarthy Properties Ltd,"Lavington, Dagoretti North",3,3,120000
Ace Realtors Limited,"21 05 05, 25 RA, Westlands Area, Westlands",3,3,120000
Eastwood Consulting Ltd,"Swaminarayan Road, Parklands, Westlands",3,3,120000
Tysons Limited,"Kilimani, Dagoretti North",3,3,120000
Mambo Properties Enterprise,"Dennis Pritt, Kilimani, Dagoretti North",1,1,120000
Green Knight Properties,"Othaya, Kileleshwa, Dagoretti North",1,1,120000
Green Knight Properties,"Mbaazi, Masanduku, Lavington, Dagoretti North",3,3,120000
Regent Management Ltd,"Chania Avenue, Kilimani, Dagoretti North",4,2,120000
Regent Management Ltd,"Chania Avenue, Kilimani, Dagoretti North",3,2,120000
Pam Golding Properties,"Kilimani, Dagoretti North",2,2,120000
Pam Golding Properties,"Westlands Area, Westlands",3,2,120000
Eden Height Realty,"Riverside, Westlands",3,2,120000
Absolute Estate Agents,"Menelik Rd, Kilimani, Nairobi, Nairobi County, KE, Kilimani, Dagoretti North",3,3,120000
Absolute Estate Agents,"Kileleshwa, Dagoretti North",3,3,120000
Dayfield Agencies,"Parklands, Westlands",4,4,120000
Yellow Market,"Kilimani, Dagoretti North",4,3,120000
Cloud Real Estate,"westlands, Westlands Area, Westlands",1,1,120000
Fit Property,"Parklands Road, Westlands, Nairobi, Parklands, Westlands",3,2,120000
Geoscape Global Limited,"Lavington, Dagoretti North",3,3,120000
Capstone Properties,"Riverside, Westlands",2,2,120000
Capstone Properties,"Thome, Roysambu",3,3,120000
Antel Limited,"Rhapta Road, Westlands",3,3,120000
Wealthlink Realtors Ltd,"Kileleshwa, Dagoretti North",3,2,120000
Buy Rent Shelters,"General Mathenge , Westlands Area, Westlands",3,3,120000
Buy Rent Shelters,"Riverside Dr, Westlands Area, Westlands",3,3,120000
Nickville Shelters,"State House, Dagoretti North",2,2,120000
Pmc Estates Limited,"King'ara Close, Off King'ara Road, Riara Road, Dagoretti North",3,2,120000
Ws Properties Limited,"Rhapta Road, Westlands Area, Westlands",3,3,120000
Ws Properties Limited,"Rhapta Road, Westlands",3,3,120000
Havilaplus Estates Ltd,"vihiga Road, Vihiga Road, Kileleshwa, Dagoretti North",3,3,120000
Keensell Ventures,"Kilimani, Dagoretti North",1,1,120000
Jakharris Africa Ltd,"Kilimani, Dagoretti North",3,3,120000
Pc Properties Real Estate Agency,"Menelik Rd, Kilimani, Dagoretti North",3,3,120000
Pmm Properties,"Kileleshwa, Dagoretti North",3,3,120000
Tussy Realtors,"Lavington, Dagoretti North",3,3,120000
J M Mccarthy Properties Ltd,"Westlands Area, Westlands",3,3,120000
Mambo Properties Enterprise,"General Mathenge, General Mathenge, Westlands",1,1,120000
Dalizu Holdings Limited,"Lantana, Westlands Area, Westlands",4,3,120000
Coralinternational Ltd,"General Mathenge, Westlands",2,2,120000
Green Knight Properties,"1 Kilimani, Kilimani, Dagoretti North",3,3,120000
Green Knight Properties,"Kayawe, Kayawe, Kilimani, Dagoretti North",3,3,120000
Green Knight Properties,"Muthangari drive, Waiyaki Way, Westlands",2,2,120000
Mambo Properties Enterprise,"Laikipia Rd, Kileleshwa, Dagoretti North",2,2,120000
Kenya Classic Homes,"Kileleshwa, Dagoretti North",3,3,120000
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",4,4,120000
Realty Plus,"Kilimani, Dagoretti North",3,3,120000
Sunland Real Estates Limited,"Gitanga, Gitanga Road, Lavington, Dagoretti North",3,3,120000
City Homes Kenya Real Estate,"Westlands road, Westlands Area, Westlands",1,1,120000
Pam Golding Properties,"Westlands Area, Westlands",3,2,120000
Azizi Realtors,"Lavington, Dagoretti North",2,2,120000
Malazo Realtors,"Brookside Drive, Parklands, Westlands",4,3,120000
Rayalink Properties,"Gitanga Road, Lavington, Dagoretti North",3,2,120000
Absolute Estate Agents,"Riara Rd Maziwa,Lavington, Lavington, Dagoretti North",3,3,120000
Vaal Real Estate,"Mandera Road, Kileleshwa, Dagoretti North",3,3,120000
Vaal Real Estate,"Kilimani, Dagoretti North",2,2,120000
Jazari Homes,"Gitanga road, Lavington, Lavington, Dagoretti North",3,3,120000
Royani Properties Limited,"kolobot drive, Kilimani, Dagoretti North",3,2,120000
Yellow Market,"Near Valley Arcade, Lavington, Dagoretti North",3,3,120000
Yellow Market,"Yaya center, Kilimani, Dagoretti North",3,1,120000
Sky Limits Ventures,"Riara Rd, Lavington, Dagoretti North",2,2,120000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,120000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,120000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,120000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",1,1,120000
Naftal Properties,"Kileleshwa, Dagoretti North",2,2,120000
Naftal Properties,"Kileleshwa, Dagoretti North",3,3,120000
Ws Properties Limited,"Rhapta Road, Westlands Area, Westlands",3,2,120000
Cfs Homes,"Kilimani, Dagoretti North",4,1,120000
Landmark Top Solutions,"Kilimani, Dagoretti North",3,3,120000
Fit Property,"Riverside Drive, Westlands, Nairobi , Riverside, Westlands",3,1,120000
A1 Properties Limited,"Riverside, Westlands",3,3,120000
Rejima Homes Ltd,"Kilimani, Dagoretti North",1,1,120000
Rejima Homes Ltd,"Westlands Area, Westlands",4,1,120000
Taji Suburbs Ltd,"Riverside, Westlands",4,4,120000
Chelezo Residency,"Rose Avenue, Kilimani, Dagoretti North",2,2,120000
Furnished Rentals,"Karen, Langata",2,2,120000
J M Mccarthy Properties Ltd,"Westlands Area, Westlands",2,2,120000
Real Management Services 2002Limited,"General Mathenge, Westlands",3,3,122000
Coralinternational Ltd,"Rhapta Road, Westlands",3,2,123000
Stop Properties Real Estate,"General Mathenge, Westlands",3,3,125000
Buy Rent Shelters,"Riverside Place Apartment, Riverside, Westlands",3,3,125000
Westside Real Estate,"Chania Avenue, Kilimani, Dagoretti North",3,3,125000
Ws Properties Limited,"Parklands, Westlands",3,3,125000
Dunhill Consulting Limited,"Kilimani, Dagoretti North",2,2,125000
Lighthouse Homes Limited,"Kileleshwa, Dagoretti North",3,3,125000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,3,125000
Prudential Green Ville,"riverside, Riverside, Riverside, Westlands",3,3,125000
Geoscape Global Limited,"Kilimani, Dagoretti North",2,2,125000
Geoscape Global Limited,"Kilimani, Dagoretti North",2,2,125000
Absolute Estate Agents,"Chania Avenue, Kilimani, Dagoretti North",3,3,125000
Orion Valuers,"Tabere Cresent Road, Kileleshwa, Dagoretti North",2,2,125000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,125000
Casapiu Holdings Limited,"Rhapta Road, Westlands",4,4,125000
Lamplighters Agency,"Lavington, Dagoretti North",3,3,125000
Calmillers_Holding_Ltd,"Lenana Road, Kilimani, Dagoretti North",3,3,125000
Realty Plus,"Rhapta Road, Westlands",3,3,125000
Pam Golding Properties,"Kilimani, Dagoretti North",3,3,125000
Shingles Kenya Limited,"Westlands Area, Westlands",3,2,125000
Chawan Business Venture,"Lavington, Dagoretti North",3,3,125000
Dalizu Holdings Limited,"Riverside, Westlands",3,3,125000
Pam Golding Properties,"Westlands Area, Westlands",3,3,128000
Coralinternational Ltd,"Off Riverside Drive, Riverside, Westlands",4,4,130000
Mambo Properties Enterprise,"Gatundu Close, Kileleshwa, Dagoretti North",3,3,130000
Mambo Properties Enterprise,"Kikambala, Kileleshwa, Dagoretti North",3,2,130000
Kensimenterprises,"Westlands Area, Westlands",3,3,130000
Pam Golding Properties,"Westlands Area, Westlands",3,3,130000
Real Management Services 2002Limited,"School Lane, Lower Kabete, Westlands",2,2,130000
Zone East Africa,"Oloitoktok Road, Kileleshwa, Dagoretti North",2,2,130000
Yellow Market,"Near Banda School, Karen, Langata",2,2,130000
Fit Property,"Rhapta Road, Westlands Area, Westlands",3,2,130000
Prudential Green Ville,"kilimani, Kilimani, Dagoretti North",3,3,130000
Sunland Real Estates Limited,"KILELESHWA, LAIKIPIA ROAD, Kileleshwa, Dagoretti North",3,3,130000
Buy Rent Shelters,"Riverside Place Apartment, Riverside, Westlands",3,3,130000
Sky Limits Ventures,"Lavington, Dagoretti North",2,2,130000
Wealthlink Realtors Ltd,"Brookside, Westlands",3,3,130000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,3,130000
Falcon Sight Properties,"General Mathenge, Westlands",3,3,130000
Ws Properties Limited,"Mwanzi Road, Westlands Area, Westlands",2,2,130000
Proptech Kenya Limited,"Kilimani, Dagoretti North",3,3,130000
Bliss And Loom,"Denis Pritt, Kilimani, Dagoretti North",2,2,130000
Pmm Properties,"Rhapta Road, Westlands Area, Westlands",4,3,130000
Greenday Properties,"Westlands Area, Westlands",3,3,130000
Vimar Properties,"Ngong Road, Ngong Road",2,2,130000
Dalizu Holdings Limited,"Kileleshwa, Dagoretti North",4,3,130000
Coralinternational Ltd,"Brookside Drive, Brookside Heights, Brookside, Westlands",3,3,130000
Swiveltrend Ltd,"mvuli road, Westlands Area, Westlands",3,2,130000
Ace Realtors Limited,"21 05 03, 05 RA, Kileleshwa, Dagoretti North",4,4,130000
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands",2,2,130000
Kenya Classic Homes,"Karen, Langata",2,2,130000
Kenya Classic Homes,"Riverside, Westlands",3,3,130000
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",3,3,130000
City Homes Kenya Real Estate,"Rose avenue, Kilimani, Dagoretti North",2,2,130000
Sir Francis Marketingconsultants Ltd,"Valley Arcade, Lavington, Dagoretti North",4,3,130000
Masterways Properties Ltd,"School Lane, Brookside, Westlands",3,3,130000
Dayfield Agencies,"Parklands, Westlands",1,1,130000
Origin Homes,"Riverside, Westlands",3,3,130000
Cura International Limited,"Kilimani, Dagoretti North",3,3,130000
Royani Properties Limited,"84 Riverside Drive, Riverside, Westlands",3,2,130000
Buy Rent Shelters,"Riverside, Riverside, Westlands",3,3,130000
Apricotsolutions Limited,"Kileleshwa, Dagoretti North",3,2,130000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,3,130000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,3,130000
Dakima Home International,"Raphta Road, Westlands Area, Westlands",3,3,130000
Westside Real Estate,"11, Riverside Drive, Riverside, Westlands",3,3,130000
Yellow Market,"Near Valley Arcade, Lavington, Dagoretti North",3,3,130000
Right Fit Properties,"Lavington, Dagoretti North",3,3,130000
Landmark Top Solutions,"Riverside, Westlands",3,3,130000
A1 Properties Limited,"Kileleshwa, Dagoretti North",3,3,130000
A1 Properties Limited,"Riverside, Westlands",3,3,130000
Rejima Homes Ltd,"Westlands Area, Westlands",4,2,130000
Ws Properties Limited,"Mandera Road, Kileleshwa, Dagoretti North",1,1,130000
Ws Properties Limited,"Riverside Drive, Riverside, Westlands",3,3,130000
Liflac Properties,"Runda, Westlands",2,2,130000
Gerryville Homes,"Westlands Area, Westlands",4,1,130000
Dunhill Consulting Limited,"Riverside, Westlands",4,3,130000
Urban Hut,"Riverside, Westlands",3,3,130000
Furnished Rentals,"Lavington, Dagoretti North",2,2,130000
Splendor Holdings,"Riverside, Westlands",2,1,130000
Trisums Investments Company Limited,"Othaya Road, Lavington, Dagoretti North",3,3,130000
Coralinternational Ltd,"Rhapta Road, Westlands",3,3,130000
Green Knight Properties,"Kilimani, Dagoretti North",4,4,130000
Green Knight Properties,"gatundu, Gatundu, Kileleshwa, Dagoretti North",2,2,130000
Green Knight Properties,"Kilimani Road , Kilimani, Dagoretti North",4,3,130000
Canaan Properties,"Kilimani, Dagoretti North",3,3,130000
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands",2,2,130000
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands",3,3,130000
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands",3,3,130000
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands",3,3,130000
Regent Management Ltd,"Sandalwood Lane Off Riverside Drive, Riverside, Westlands",3,3,130000
Eden Height Realty,"Kileleshwa, Dagoretti North",3,2,130000
Sunland Real Estates Limited,"KILIMANI ROAD, Kilimani, Dagoretti North",4,3,130000
Halifax Estate Agency,"Parklands, Westlands",4,3,130000
Origin Homes,"Lavington, Dagoretti North",2,2,130000
Hold Kenya Investments Limited,"riverra towers, Nyangumi Road, Kilimani, Dagoretti North",3,3,130000
Royalgen Estates,"Lantana, Rhapta Road, Westlands",4,4,130000
Wealthlink Realtors Ltd,"Rhapta Road, Westlands",3,3,130000
Wealthlink Realtors Ltd,"General Mathenge, Westlands",3,3,130000
Crystal Valuers Ltd,"Hurligham, Kindaruma Road, Kilimani, Dagoretti North",2,2,130000
Kenya Classic Homes,"Lavington, Dagoretti North",4,4,130000
Absolute Estate Agents,"Makueni Rd, Kileleshwa, Nairobi, Kileleshwa, Dagoretti North",3,3,130000
Masterways Properties Ltd,"Tigoni Road, Kilimani, Dagoretti North",3,3,130000
Dayfield Agencies,"Parklands, Westlands",4,4,130000
Buy Rent Shelters,"Riverside Dr, Westlands Area, Westlands",3,1,130000
Fuzone Pride Investment,"Lavington, Dagoretti North",4,3,130000
Ws Properties Limited,"School Lane, Brookside, Westlands",3,3,130000
Medallion Systems,"Lavington, Dagoretti North",3,1,130000
Landmark Top Solutions,"Riverside, Westlands",3,3,130000
Landmark Top Solutions,"Riverside, Westlands",3,3,130000
The Houswitch Haven Ltd,"Raphta Road, Rhapta Road, Westlands",3,3,130000
Keensell Ventures,"Westlands, Westlands, Westlands Area, Westlands",1,1,130000
Furnished Rentals,"Kileleshwa, Dagoretti North",3,3,130000
Ace Realtors Limited,"21 04 22, 26 RA, Riverside, Westlands",3,3,130000
Canaan Properties,"Riverside, Westlands",3,2,130000
Coralinternational Ltd,"Raphta Road, Westlands Area, Westlands",3,3,132000
Canaan Properties,"Kilimani, Dagoretti North",3,3,132000
Dunhill Consulting Limited,"Keiyo Road, Parklands, Westlands",1,1,133000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",4,3,135000
Wealthlink Realtors Ltd,"Lavington, Dagoretti North",3,3,135000
Good Living Properties Limited,"Waiyaki Way, Westlands",4,3,135000
Greenday Properties,"General Mathenge, Westlands",3,3,135000
Sky Limits Ventures,"Kileleshwa, Dagoretti North",3,3,135000
Falcon Sight Properties,"Parklands, Parklands, Westlands",4,4,135000
Ws Properties Limited,"Rhapta Road, Westlands Area, Westlands",1,1,135000
Ws Properties Limited,"Laikipia Road, Kileleshwa, Dagoretti North",2,2,135000
Opus Properties,"1st Parklands Avenue, Parklands, Westlands",3,3,135000
Green Knight Properties,"Pilipili way, Westlands Area, Westlands",2,2,135000
Tysons Limited,"Lavington, Dagoretti North",3,2,135000
Kensimenterprises,"Waiyaki Way, Westlands",4,3,135000
Eastwood Consulting Ltd,"Brookside Drive, Brookside, Westlands",3,3,135000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,135000
Ws Properties Limited,"Waiyaki Way, Westlands Area, Westlands",2,2,135000
Fit Property,"Riara Road, Kilimani, Nairobi , Kilimani, Dagoretti North",4,3,135000
Stop Properties Real Estate,"Rhapta Road, Westlands",3,3,136000
Mambo Properties Enterprise,"Mpaka Rd, Westlands Area, Westlands",3,2,140000
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands",1,1,140000
Mambo Properties Enterprise,"General Mathenge, General Mathenge, Westlands",4,4,140000
Mambo Properties Enterprise,"Rhapta Rd, Rhapta Road, Westlands",3,3,140000
Mambo Properties Enterprise,"Riverside close, Riverside, Westlands",2,2,140000
Kenya Classic Homes,"Lavington, Dagoretti North",3,3,140000
Kenya Classic Homes,"Lavington, Dagoretti North",4,4,140000
Green Knight Properties,"Mbaazi, Lavington, Dagoretti North",2,2,140000
Highend Consulting,"Naivasha Avenue, Old Muthaiga, Muthaiga",1,1,140000
Capstone Properties,"Riverside, Westlands",2,1,140000
Absolute Estate Agents,"Lenana rd,kilimani, Kilimani, Dagoretti North",2,2,140000
Paradigm Homes,"Othaya Road, Kileleshwa, Dagoretti North",3,3,140000
Royani Properties Limited,"Laikipia Road, Kileleshwa, Dagoretti North",3,2,140000
Origin Homes,"Off Riara, Lavington, Dagoretti North",3,3,140000
Jazari Homes,"Lavington, Lavington, Lavington, Dagoretti North",3,3,140000
A1 Properties Limited,"Kilimani, Dagoretti North",3,3,140000
A1 Properties Limited,"Kileleshwa, Dagoretti North",4,4,140000
Dakima Home International,"Brookside, Brookside, Westlands",1,1,140000
Cfs Homes,"Parklands, Westlands",3,1,140000
Unique Casles Management Ltd,"Waiyaki Way, Westlands",4,3,140000
Unique Casles Management Ltd,"Jambo Regency Apartments, Waiyaki Way, Westlands",4,3,140000
Keensell Ventures,"Lavington, Dagoretti North",1,1,140000
Jakharris Africa Ltd,"Rhapta Road, Westlands",4,3,140000
Royani Properties Limited,"Fahari Palace Apartments, Church Road, Westlands Area, Westlands",2,2,140000
Coralinternational Ltd,"Off Dennis Pritt Road, Kileleshwa, Dagoretti North",3,2,140000
Coralinternational Ltd,"Westlands Area, Westlands",2,2,140000
Coralinternational Ltd,"Parklands, Westlands",3,3,140000
Coralinternational Ltd,"Lower Kabete, Westlands",3,3,140000
Simkar Group Limited,"Mpaka Road, Westlands Area, Westlands",2,2,140000
Mambo Properties Enterprise,"Ngong Rd, Kilimani, Dagoretti North",2,2,140000
Green Knight Properties,"Riverside drive , Riverside, Westlands",1,1,140000
Prime Lands,"kindaruma road, Kilimani, Dagoretti North",2,2,140000
Prudential Green Ville,"riverside, Riverside, Riverside, Westlands",3,3,140000
Origin Homes,"Parklands, Westlands",3,3,140000
Buy Rent Shelters,"Brookside, Brookside, Westlands",3,3,140000
Buy Rent Shelters,"Brookside, Westlands Area, Westlands",3,3,140000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,3,140000
Wealthlink Realtors Ltd,"Kileleshwa, Dagoretti North",3,2,140000
Olympia Gold Real Estate,"Riverside, Westlands",3,3,140000
Naftal Properties,"Lavington, Dagoretti North",3,3,140000
Ensuite Realtors,"Othaya Road, Kileleshwa, Dagoretti North",3,3,140000
Greenday Properties,"Kileleshwa, Dagoretti North",2,2,140000
J M Mccarthy Properties Ltd,"Lavington, Dagoretti North",3,3,140000
J M Mccarthy Properties Ltd,"Kilimani, Dagoretti North",2,2,140000
Hassconsult,"Waiyaki Way, Westlands",2,2,140000
Kenya Classic Homes,"Riverside, Westlands",2,2,140000
Citiscape Valuers And Estate Agents Ltd,"Kilimani, Dagoretti North",3,2,140000
Prime Lands,"Kilimani, Dagoretti North",2,2,140000
Halifax Estate Agency,"General Mathenge, Westlands",3,2,140000
City Homes Kenya Real Estate,"suguta road, Kileleshwa, Dagoretti North",2,2,140000
Origin Homes,"General Mathenge, Westlands",2,2,140000
Buy Rent Shelters,"Brookside, Westlands Area, Westlands",3,3,140000
Buy Rent Shelters,"Westlands, Brookside, Westlands",3,3,140000
Yellow Market,"near Valley arcade shopping, Valley Arcade, Dagoretti North",3,3,140000
Symonns Realty,"Riverside, Westlands",4,3,140000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,140000
Cloud Real Estate,"Kilimani, Dagoretti North",2,2,140000
Ws Properties Limited,"5Th Avenue, Parklands, Westlands",4,4,140000
Casapiu Holdings Limited,"Riverside, Westlands",3,3,140000
Coralinternational Ltd,"Githuri Road, Parklands, Westlands",4,4,145000
Pam Golding Properties,"Kilimani, Dagoretti North",3,3,145000
Pam Golding Properties,"Thika Road, Thika Road",3,3,145000
Fit Property,"Gatundu Road, Kileleshwa, Nairobi, Kileleshwa, Dagoretti North",3,3,145000
Coralinternational Ltd,"Parklands, Westlands",4,4,145000
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",3,3,145000
Geoscape Global Limited,"Westlands Area, Westlands",2,2,145000
Capstone Properties,"Kilimani, Dagoretti North",3,3,145000
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",3,3,145000
Coralinternational Ltd,"Argwings Kodhek Rd, Kilimani, Dagoretti North",2,2,150000
Kenya Classic Homes,"Kilimani, Dagoretti North",4,4,150000
Mambo Properties Enterprise,"Othaya Rd, Lavington, Dagoretti North",4,4,150000
Mambo Properties Enterprise,"Laikipia Rd, Riverside, Westlands",2,2,150000
Green Knight Properties,"Laikipia , Kileleshwa, Dagoretti North",2,2,150000
Realty Plus,"Riverside, Westlands",3,3,150000
Capstone Properties,"General Mathenge, Westlands",3,3,150000
Yellow Market,"Othaya Road, Lavington, Dagoretti North",4,4,150000
Dmus Realtors,"Siaya Road, Kileleshwa, Dagoretti North",4,4,150000
Fit Property,"Parklands Road, Westlands, Nairobi, Parklands, Westlands",4,3,150000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",4,4,150000
A1 Properties Limited,"Kileleshwa, Dagoretti North",4,4,150000
Naftal Properties,"Lavington, Dagoretti North",2,2,150000
Naftal Properties,"Kilimani, Dagoretti North",2,2,150000
Dakima Home International,"Westlands Area, Westlands",4,3,150000
Ws Properties Limited,"Mandera Road, Kileleshwa, Dagoretti North",3,3,150000
Ws Properties Limited,"Lantana Road, Rhapta Road, Westlands",4,4,150000
Blue Zone Properties,"1, Redhill drive, Nyari, Westlands",3,3,150000
Gerryville Homes,"Kileleshwa, Dagoretti North",4,3,150000
Taji Suburbs Ltd,"Riverside, Westlands",3,3,150000
Dunhill Consulting Limited,"Kindaruma Road, Kilimani, Dagoretti North",2,2,150000
Calmillers_Holding_Ltd,"Rhapta Road, Westlands",3,3,150000
Chelezo Residency,"Rose Avenue, Kilimani, Dagoretti North",3,2,150000
Furnished Rentals,"Kilimani, Dagoretti North",3,3,150000
Furnished Rentals,"Westlands Area, Westlands",2,2,150000
Keensell Ventures,"parklands, Parklands, Parklands, Westlands",4,4,150000
Splendor Holdings,"Kilimani, Dagoretti North",2,2,150000
Ace Realtors Limited,"21 03 25, 32 FA, Waiyaki Way, Westlands",1,1,150000
Coralinternational Ltd,"Le'mac, Slip Road, Waiyaki Way, Westlands",2,2,150000
Mambo Properties Enterprise,"Gatundu Rd, Kileleshwa, Dagoretti North",3,3,150000
Mambo Properties Enterprise,"Rhapta Rd, Rhapta Road, Westlands",4,3,150000
Pam Golding Properties,"Karen, Langata",2,2,150000
Pam Golding Properties,"Kilimani, Dagoretti North",4,4,150000
Pam Golding Properties,"Thika Road, Thika Road",2,1,150000
Azizi Realtors,"Othaya road, Kileleshwa, Dagoretti North",3,3,150000
Prime Lands,"12, lower kabete, Brookside, Westlands",3,3,150000
Realty Plus,"Lavington, Dagoretti North",3,2,150000
Realty Plus,"Lavington, Dagoretti North",3,2,150000
Halifax Estate Agency,"Rhapta Road, Westlands",4,1,150000
Ring Kenya Ltd,"Kileleshwa, Dagoretti North",3,3,150000
Sema Estate Agents,"Nyari, Westlands",4,2,150000
Rayalink Properties,"Riara road, Kilimani, Dagoretti North",3,2,150000
Sir Francis Marketingconsultants Ltd,"Yaya Centre, Kilimani, Dagoretti North",4,4,150000
Yellow Market,"walk to valley arcade, Lavington, Dagoretti North",4,4,150000
Yellow Market,"near Kasusku, Kileleshwa, Dagoretti North",3,3,150000
Acurate Homes Limited,"Rhapta Road, Rhapta Road, Westlands",3,3,150000
Dmus Realtors,"Brookside, Westlands",3,3,150000
Dmus Realtors,"Brookside Drive, Westlands Area, Westlands",3,3,150000
Origin Homes,"Kilimani, Dagoretti North",3,3,150000
Origin Homes,"General Mathenge, Westlands",2,2,150000
Origin Homes,"Shanzu road, Spring Valley, Westlands",4,4,150000
Wealthlink Realtors Ltd,"Kileleshwa, Dagoretti North",4,4,150000
Wealthlink Realtors Ltd,"Kiambu Road, Kiambu Road",3,2,150000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",4,3,150000
Dakima Home International,"Westlands Area, Westlands",4,4,150000
Good Living Properties Limited,"Westlands Area, Westlands",1,1,150000
Gemac Properties,"Lone Tree, Rosslyn, Westlands",2,2,150000
Blue Zone Properties,"1, Rosslyn Lone Tree Estate Road, Rosslyn, Westlands",2,2,150000
Ws Properties Limited,"Brookside Drive, Brookside, Westlands",2,2,150000
Ws Properties Limited,"Peponi Road, Westlands Area, Westlands",2,2,150000
Lizmor Properties,"Westlands Area, Westlands",2,2,150000
Lizmor Properties,"Brookside, Westlands",3,3,150000
Cfs Homes,"Hurlingham, Dagoretti North",3,1,150000
Furnished Rentals,"Kileleshwa, Dagoretti North",2,2,150000
Furnished Rentals,"Westlands Area, Westlands",2,2,150000
Furnished Rentals,"Kilimani, Dagoretti North",3,3,150000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,150000
Keensell Ventures,"Brookside, Brookside, Brookside, Westlands",4,4,150000
Casapiu Holdings Limited,"Rhapta Road, Westlands",3,2,150000
J M Mccarthy Properties Ltd,"Westlands Area, Westlands",4,4,150000
Trisums Investments Company Limited,"Mbaazi Avenue, Lavington, Dagoretti North",3,3,150000
Canaan Properties,"Parklands, Westlands",4,2,150000
Stop Properties Real Estate,"Westlands Area, Westlands",3,3,150000
Mambo Properties Enterprise,"Gatundu Rd, Kileleshwa, Dagoretti North",3,3,150000
Mambo Properties Enterprise,"Kitale Lane, Kilimani, Dagoretti North",2,2,150000
Regent Management Ltd,"Dennis Pritt, Dagoretti North",3,2,150000
Eastwood Consulting Ltd,"6Th Parklands , Parklands, Westlands",3,2,150000
Capstone Properties,"Kyuna, Westlands",3,3,150000
El Roi Properties,"Argwings Kodhek, Kilimani, Dagoretti North",3,2,150000
