,location,bedrooms,bathrooms,price
1193,520,3,3,120000
1194,436,3,3,120000
1195,214,3,2,120000
1196,143,3,3,120000
1197,456,3,3,120000
1198,498,2,2,120000
1199,226,3,2,120000
1201,436,3,3,120000
1202,601,3,3,120000
1203,218,1,1,120000
1204,218,3,3,120000
1205,302,3,3,120000
1206,214,3,3,120000
1207,253,3,3,120000
1208,540,3,3,120000
1209,148,1,1,120000
1210,252,4,3,120000
1211,150,2,2,120000
1212,3,3,3,120000
1213,202,3,3,120000
1214,334,2,2,120000
1215,244,2,2,120000
1216,214,3,3,120000
1217,567,4,4,120000
1218,218,3,3,120000
1219,161,3,3,120000
1220,542,1,1,120000
1222,253,2,2,120000
1223,78,4,3,120000
1224,158,3,2,120000
1225,444,3,3,120000
1226,284,3,3,120000
1227,218,2,2,120000
1228,160,3,3,120000
1229,575,3,2,120000
1230,358,3,3,120000
1231,554,3,1,120000
1232,445,2,2,120000
1233,540,2,2,120000
1236,540,1,1,120000
1237,214,2,2,120000
1238,214,3,3,120000
1239,437,3,2,120000
1240,218,4,1,120000
1241,218,3,3,120000
1242,459,3,1,120000
1243,467,3,3,120000
1244,218,1,1,120000
1245,540,4,1,120000
1246,467,4,4,120000
1247,468,2,2,120000
1248,195,2,2,120000
1249,540,2,2,120000
1250,150,3,3,122000
1251,436,3,2,123000
1252,150,3,3,125000
1253,462,3,3,125000
1254,89,3,3,125000
1255,413,3,3,125000
1256,218,2,2,125000
1257,214,3,3,125000
1258,570,3,3,125000
1259,597,3,3,125000
1260,218,2,2,125000
1262,89,3,3,125000
1263,509,2,2,125000
1264,540,2,2,125000
1265,436,4,4,125000
1266,253,3,3,125000
1267,260,3,3,125000
1268,436,3,3,125000
1269,218,3,3,125000
1270,540,3,2,125000
1271,253,3,3,125000
1272,467,3,3,125000
1273,540,3,3,128000
1274,387,4,4,130000
1275,137,3,3,130000
1276,212,3,2,130000
1277,540,3,3,130000
1278,540,3,3,130000
1279,482,2,2,130000
1280,400,2,2,130000
1281,352,2,2,130000
1282,437,3,2,130000
1283,569,3,3,130000
1284,180,3,3,130000
1285,462,3,3,130000
1286,253,2,2,130000
1287,83,3,3,130000
1288,540,3,3,130000
1289,150,3,3,130000
1290,337,2,2,130000
1291,218,3,3,130000
1292,101,2,2,130000
1293,437,4,3,130000
1294,540,3,3,130000
1295,368,2,2,130000
1296,214,4,3,130000
1297,76,3,3,130000
1298,585,3,2,130000
