,location,bedrooms,bathrooms,price
227,"Waiyaki Way, Westlands",2,2,50000
228,"Kileleshwa, Dagoretti North",2,2,50000
229,"New Kitisuru, Kitisuru, Westlands",3,2,50000
230,"Kiambu Rd, Thindigua, Kiambu Road, Kiambu Road",3,3,50000
231,"6, Bukani Road, Nairobi West, Langata",3,1,50000
232,"Kamiti Road, Kamiti, Kiambaa",3,2,50000
233,"Westlands Area, Westlands",1,1,50000
234,"Rhino park road, Karen, Langata",2,2,50000
235,"Racecourse, Ngando Area, Ngong Road, Ngong Road",3,2,50000
236,"Ngong Road, Ngong Road",3,2,50000
237,"Kiambu Rd, Kiambu Road, Kiambu Road",2,2,50000
238,"Fourways Junction Estate, Kiambu Road, Kiambu Road",2,2,50000
239,"Migaa, Kiambu Road, Kiambu Road",1,1,50000
240,"Nairobi West, Langata",3,2,50000
241,"Rhapta Road, Westlands",1,1,50000
242,"kiambu road, kiambu road, Kiambu Road, Kiambu Road",3,3,50000
243,"Thindigua, Thindigua",3,3,50000
244,"Upper Hill, Langata",2,2,50000
245,"Imara Daima, Embakasi",3,2,50000
246,"1 Ojijo, Parklands, Westlands",2,1,50000
247,"Upper Hill, Langata",1,1,50000
248,"Zambia Road, Ngong, Kajiado North",3,3,50000
249,"Kiambu Road, Kiambu Road",3,3,50000
250,"Kilimani, Dagoretti North",1,1,50000
251,"Ruaka, Kiambaa",3,3,51000
252,"riara road, Riara Road, Dagoretti North",2,2,52000
253,"kiambu road, kiambu road, Kiambu Road, Kiambu Road",2,1,52000
254,"Kiambu Road, Kiambu Road",2,2,52000
255,"Milimani, Kilimani, Dagoretti North",2,1,52500
256,"Limuru Road, Ruaka, Kiambaa",3,3,54000
257,"Ruaka, Kiambaa",3,2,54000
258,"Four Points Apartments, Uthiru/Ruthimitu, Dagoretti South",2,2,55000
259,"Kilimani, Dagoretti North",2,2,55000
260,"Gatundu road , Kileleshwa, Dagoretti North",1,1,55000
261,"Rhaphta Road, Waiyaki Way, Westlands",3,1,55000
262,"Kileleshwa, Dagoretti North",2,2,55000
263,"Rhapta Road, Westlands",1,1,55000
264,"Kiambu Road, Kiambu Road",3,2,55000
265,"Kiambu Rd, Thindigua, Thindigua",3,3,55000
266,"Kahawa West, Roysambu",2,2,55000
267,"Wanyee Road, Naivasha Road, Dagoretti North",3,2,55000
268,"Fourways Junction Estate, Kiambu Road, Kiambu Road",2,2,55000
269,"Ngong Road, Ngong Road, Ngong Road",2,1,55000
270,"Lavington, Dagoretti North",2,2,55000
271,"Denis Pritt, Kilimani, Dagoretti North",1,1,55000
272,"Off Naivasha road, Dagoretti Corner, Dagoretti South",3,2,55000
273,"kiambu road, kiambu road, Kiambu Road, Kiambu Road",3,3,55000
274,"Loresho, Westlands",2,2,55000
275,"Kilimani, Dagoretti North",1,1,55000
276,"Limuru Road, Ruaka, Kiambaa",3,2,55000
277,"Loresho, Westlands",2,2,55000
278,"Kilimani, Dagoretti North",1,1,55000
279,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,55000
280,"Lavington, Dagoretti North",3,2,55000
281,"Kileleshwa, Dagoretti North",3,3,55000
282,"Riverside Mews, Riverside, Westlands",1,1,55000
283,"Loresho, Westlands",2,2,55000
284,"Kahawa West, Roysambu",3,2,55000
285,"Mombasa CBD, Mombasa CBD",3,2,55000
286,"Kahawa West, Roysambu",3,1,55000
287,"Kiambu Road, Kiambu Road",3,3,55000
288,"Kiambu Road, Kiambu Road",3,3,55000
289,"Mountain View, Westlands",2,2,55000
290,"Kitisuru, Westlands",2,2,55000
291,"Kilimani, Dagoretti North",2,2,55000
292,"Mwimuto, New Kitusuru, Westlands",2,2,55000
293,"Karenend Apartments, Karinde, Karen, Langata",2,2,55000
294,"waiyaki, waiyaki, Loresho, Westlands",2,2,55000
295,"Thindigua, Thindigua",3,3,55000
296,"Lavington, Dagoretti North",2,2,55000
297,"Fourways Junction Estate, Kiambu Road, Kiambu Road",2,2,55000
298,"Kilimani, Dagoretti North",1,1,55000
299,"Kileleshwa, Dagoretti North",3,3,55000
300,"Kileleshwa, Dagoretti North",3,3,55000
301,"Statehouse Crescent, Off Statehouse Road, State House, Dagoretti North",2,1,55000
302,"Kileleshwa, Dagoretti North",2,1,55000
303,"Upper Hill, Langata",2,1,55000
304,"kinoo 87/Uthiru, Kinoo, Kabete",3,3,55000
305,"Thindigua, Kiambu Road, Kiambu Road",3,2,56000
306,"Thindigua, Thindigua",3,3,56000
307,"Thika Road, Kahawa, Roysambu",4,2,57750
308,"Kangundo Road, Kileleshwa, Dagoretti North",2,2,58000
309,"Chinga Dam Apartments, Iregi Road, Parklands, Westlands",3,2,58500
310,"Rhapta road, Rhapta Road, Westlands",2,2,59000
311,"Loresho, Westlands",3,3,60000
312,"Naivasha Road, Dagoretti North",3,2,60000
313,"Kilimani, Dagoretti North",1,1,60000
314,"George Pardmore lane, Kilimani, Dagoretti North",1,1,60000
315,"Jamhuri, Ngong",3,2,60000
316,"Lavington, Dagoretti North",2,2,60000
317,"1, Riara, Kilimani, Dagoretti North",2,1,60000
318,"Kileleshwa, Dagoretti North",2,2,60000
319,"Riara Road, Dagoretti North",2,2,60000
320,"Riara, Lavington, Dagoretti North",2,1,60000
321,"Kasuku Center, Kileleshwa, Dagoretti North",3,2,60000
322,"kileleshwa, kileleshwa, Kileleshwa, Dagoretti North",2,2,60000
323,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,60000
324,"lavington, lavington, Lavington, Dagoretti North",2,2,60000
325,"Mandera Road, Kileleshwa, Dagoretti North",1,1,60000
326,"Loresho, Loresho, Westlands",2,2,60000
327,"Kilimani, Dagoretti North",2,2,60000
328,"Kileleshwa, Dagoretti North",2,1,60000
329,"Loresho, Westlands",3,2,60000
330,"Westlands Area, Westlands",2,2,60000
331,"Kileleshwa, Dagoretti North",2,1,60000
332,"Thindigua, Thindigua",3,2,60000
333,"KIAMBU ROAD, Ruaka, Kiambaa",3,3,60000
334,"21 05 04, 02 RA, Waiyaki Way, Westlands",2,2,60000
335,"1, Crescent Road, Parklands, Westlands",3,2,60000
336,"Crescent Road, Parklands, Westlands",3,2,60000
337,"Kileleshwa, Dagoretti North",2,2,60000
338,"Lavington, Dagoretti North",3,2,60000
339,"Kileleshwa, Dagoretti North",3,2,60000
340,"Rhapta Road, Westlands",3,2,60000
341,"Karen, Langata",2,2,60000
342,"Waiyaki Way, Westlands",3,3,60000
343,"Kileleshwa, Dagoretti North",3,2,60000
344,"Kiambu Road, Kiambu Road",4,4,60000
345,"Karen, Langata",2,1,60000
346,"Westlands Area, Westlands",2,2,60000
347,"Ruaka, Kiambaa",3,1,60000
348,"Ngara, Starehe",3,2,60000
349,"Rhapta Road, Westlands",1,1,60000
350,"Ngong Road, Ngong Road",2,2,60000
351,"Loresho, Westlands",2,2,60000
352,"Kileleshwa, Dagoretti North",2,2,60000
353,"Kileleshwa, Dagoretti North",2,2,60000
354,"Kilimani, Dagoretti North",2,2,60000
355,"Kilimani, Dagoretti North",2,2,60000
356,"Fourways Junction, Kiambu Road, Kiambu Road",3,2,60000
357,"Off Rhapta Road, Westlands Area, Westlands",1,1,60000
358,"Loresho, Loresho, Westlands",2,2,60500
359,"Ngong Road, Ngong Road",3,2,62000
360,"Off Ojijo, Westlands Area, Westlands",2,2,62500
361,"Kilimani, Dagoretti North",1,1,65000
362,"Gatundu Road, Kileleshwa, Dagoretti North",2,2,65000
363,"Chaka Road, Kilimani, Dagoretti North",2,1,65000
364,"Valley Arcade, Lavington, Dagoretti North",2,2,65000
365,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,65000
366,"lavington, lavington, Lavington, Dagoretti North",3,2,65000
367,"Waiyaki Way, Westlands",2,2,65000
368,"Loresho, Westlands",3,3,65000
369,"Kilimani, Dagoretti North",2,1,65000
370,"Kileleshwa, Dagoretti North",2,2,65000
371,"Kilimani, Dagoretti North",2,1,65000
372,"Denis Pritt, Kilimani, Dagoretti North",2,1,65000
373,"Kilimani, Dagoretti North",2,2,65000
